map_id,map_pretty_name,map_pretty_name_long
CAR_S_1944_Day_P_Skirmish,Carentan,Carentan
CAR_S_1944_Dusk_P_Skirmish,Carentan,Carentan
CAR_S_1944_Rain_P_Skirmish,Carentan,Carentan
carentan_offensive_ger,Carentan,Carentan
carentan_offensive_us,Carentan,Carentan
carentan_warfare,Carentan,Carentan
carentan_warfare_night,Carentan,Carentan
DRL_S_1944_Day_P_Skirmish,Driel,Driel
DRL_S_1944_Night_P_Skirmish,Driel,Driel
DRL_S_1944_P_Skirmish,Driel,Driel
driel_offensive_ger,Driel,Driel
driel_offensive_us,Driel,Driel
driel_warfare,Driel,Driel
driel_warfare_night,Driel,Driel
ELA_S_1942_Night_P_Skirmish,El Alamein,El Alamein
ELA_S_1942_P_Skirmish,El Alamein,El Alamein
elalamein_offensive_CW,El Alamein,El Alamein
elalamein_offensive_ger,El Alamein,El Alamein
elalamein_warfare,El Alamein,El Alamein
elalamein_warfare_night,El Alamein,El Alamein
EBR_S_1944_...,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_offensiveUS_day,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_offensiveUS_evening,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_offensiveUS_morning,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_offensiveUS_night,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_offensiveger_day,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_offensiveger_evening,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_offensiveger_morning,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_offensiveger_night,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_skirmish_day,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_skirmish_evening,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_skirmish_morning,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_skirmish_night,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_warfare_day,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_warfare_evening,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_warfare_morning,Elsenborn Ridge,Elsenborn Ridge
elsenbornridge_warfare_night,Elsenborn Ridge,Elsenborn Ridge
FOY_S_1944_Night_P_Skirmish,Foy,Foy
FOY_S_1944_P_Skirmish,Foy,Foy
foy_offensive_ger,Foy,Foy
foy_offensive_us,Foy,Foy
foy_warfare,Foy,Foy
foy_warfare_night,Foy,Foy
HIL_S_1944_Day_P_Skirmish,Hill 400,Hill 400
HIL_S_1944_Dusk_P_Skirmish,Hill 400,Hill 400
HIL_S_1944_Night_P_Skirmish,Hill 400,Hill 400
hill400_offensive_US,Hill 400,Hill 400
hill400_offensive_ger,Hill 400,Hill 400
hill400_warfare,Hill 400,Hill 400
hill400_warfare_night,Hill 400,Hill 400
hurtgenforest_offensive_US,Hurtgen Forest,Hurtgen Forest
hurtgenforest_offensive_ger,Hurtgen Forest,Hurtgen Forest
